engine_id,predicted_RUL,true_RUL,imminent_failure_flag,top_sensors,top_subsystems
1,116.8053970336914,112,False,"[('sensor_12', 0.1319834537726383), ('sensor_20', 0.11237344121749451), ('sensor_21', 0.08267641373870721), ('sensor_7', 0.07591068646532995), ('sensor_6', 0.07455128797087641)]","[('High-Pressure Turbine (HPT)', 0.17793833597478534), ('Low-Pressure Compressor (LPC)', 0.13212132832882362), ('LPC outlet temperature (corrected)', 0.1319834537726383), ('Overall Inlet', 0.12509098156494333), ('Fan inlet pressure (psia)', 0.12500997125872562)]"
2,117.34233856201172,98,False,"[('sensor_12', 0.09249203067615933), ('sensor_6', 0.08692080949487294), ('sensor_20', 0.07924471995374291), ('sensor_7', 0.07061590211115287), ('sensor_2', 0.06928519776435903)]","[('High-Pressure Turbine (HPT)', 0.18752334474948715), ('Overall Inlet', 0.13999323317224688), ('Fan inlet pressure (psia)', 0.13990109987551191), ('Fan', 0.13314118657600557), ('High-Pressure Compressor (HPC)', 0.12153358690254651)]"
3,43.413326263427734,69,False,"[('sensor_13', 0.09259713108092871), ('sensor_12', 0.09256648215708141), ('sensor_8', 0.08777679368010408), ('sensor_4', 0.08698495998328347), ('sensor_11', 0.08126189715932362)]","[('High-Pressure Turbine (HPT)', 0.23822848053264958), ('Overall Inlet', 0.13152217698491392), ('Fan inlet pressure (psia)', 0.13146844531244956), ('Combustion Chamber', 0.13026609076521709), ('High-Pressure Compressor (HPC)', 0.12786856235024638)]"
4,99.54499053955078,82,False,"[('sensor_12', 0.0855312724950233), ('sensor_11', 0.07851971146926091), ('sensor_4', 0.07603566922148294), ('sensor_7', 0.07147420317544809), ('sensor_6', 0.07143572824017452)]","[('High-Pressure Turbine (HPT)', 0.20154044411331226), ('Fan', 0.13725674317757383), ('Overall Inlet', 0.13503696058021392), ('Fan inlet pressure (psia)', 0.13497615028166945), ('High-Pressure Compressor (HPC)', 0.1332769492462202)]"
5,77.64112091064453,91,False,"[('sensor_12', 0.08982118033925357), ('sensor_11', 0.08193471333744871), ('sensor_6', 0.07971397388119125), ('sensor_13', 0.0751281052170643), ('sensor_8', 0.06802256131099817)]","[('High-Pressure Turbine (HPT)', 0.18675733141713938), ('Fan', 0.1429146697401669), ('Overall Inlet', 0.1255458866727184), ('Fan inlet pressure (psia)', 0.12548526385402198), ('High-Pressure Compressor (HPC)', 0.12163247727861534)]"
6,109.10357666015625,93,False,"[('sensor_6', 0.08150067961570195), ('sensor_4', 0.07753298125848053), ('sensor_12', 0.07700828149816064), ('sensor_13', 0.07660438902368027), ('sensor_21', 0.07219177265279189)]","[('High-Pressure Turbine (HPT)', 0.22632914293495268), ('Fan', 0.1505893803238211), ('Overall Inlet', 0.12544032054296328), ('Fan inlet pressure (psia)', 0.1253764734432778), ('High-Pressure Compressor (HPC)', 0.11055285697713918)]"
7,89.32498931884766,91,False,"[('sensor_12', 0.11444119877511279), ('sensor_20', 0.10778044968515746), ('sensor_9', 0.10105095619439126), ('sensor_7', 0.0770625095620695), ('sensor_14', 0.07699921015642422)]","[('Fan', 0.22307233153846903), ('High-Pressure Turbine (HPT)', 0.14372130802547906), ('Overall Inlet', 0.12135898610644962), ('Fan inlet pressure (psia)', 0.12129371323881452), ('Low-Pressure Compressor (LPC)', 0.11456576404246256)]"
8,109.9478759765625,95,False,"[('sensor_8', 0.09490995623065784), ('sensor_12', 0.09207347583730739), ('sensor_13', 0.08787693891151889), ('sensor_4', 0.07132188353777262), ('sensor_11', 0.07113855433917436)]","[('High-Pressure Turbine (HPT)', 0.21811787014546724), ('High-Pressure Compressor (HPC)', 0.1551064463722235), ('Overall Inlet', 0.12719672498257323), ('Fan inlet pressure (psia)', 0.12712891839162577), ('Combustion Chamber', 0.11044063382730882)]"
9,117.97095489501953,111,False,"[('sensor_13', 0.08131276932811915), ('sensor_4', 0.07886482085069571), ('sensor_3', 0.07471678121404138), ('sensor_6', 0.07064848994577501), ('sensor_11', 0.06865378811718652)]","[('High-Pressure Turbine (HPT)', 0.2271950670486206), ('Fan', 0.1372307128806494), ('High-Pressure Compressor (HPC)', 0.1335298082532425), ('Overall Inlet', 0.1167934550661554), ('Fan inlet pressure (psia)', 0.11672226745340956)]"
10,70.75226593017578,96,False,"[('sensor_12', 0.10497693152789793), ('sensor_7', 0.0848125700647108), ('sensor_20', 0.07616533243835223), ('sensor_14', 0.07157940845628173), ('sensor_6', 0.07131982402170513)]","[('Fan', 0.2008725390636436), ('High-Pressure Turbine (HPT)', 0.1586073406147283), ('Overall Inlet', 0.1295597970803112), ('Fan inlet pressure (psia)', 0.12948836973402703), ('Low-Pressure Compressor (LPC)', 0.10513414757459018)]"
