lr,lambda_over,cnn_ch,val_mse,val_over,val_obj
0.001,5.0,32,261.4830322265625,0.15197051318400906,413.45354541057156
0.001,5.0,64,144.4695587158203,0.20413949532180323,348.60905403762354
0.001,10.0,32,293.8307800292969,0.19166430394102638,485.49508397032326
0.001,10.0,64,296.3636169433594,0.1647292316416218,461.0928485849812
0.001,20.0,32,322.9914855957031,0.16246101502693508,485.45250062263824
0.001,20.0,64,323.8585510253906,0.1851431811738021,509.0017321991927
0.0005,5.0,32,198.9491424560547,0.14034590303373973,339.2950454897944
0.0005,5.0,64,119.49762725830078,0.12049900765523107,239.99663491353186
0.0005,10.0,32,241.677978515625,0.16699744825630847,408.6754267719335
0.0005,10.0,64,213.5399627685547,0.15735752764389,370.89749041244465
0.0005,20.0,32,311.15478515625,0.10575559965976751,416.91038481601754
0.0005,20.0,64,208.86166381835938,0.19733484547774313,406.1965092961025
